Lab_Number,sample_description,parser_output,prediction,ground_truth
P1300010,"Poziom metalicznych produktów zużycia w normie,  świadczy o braku intensywnych procesów zużyciowych oraz korozyjnych w układzie olejowym. Oznaczona lepkość w normie. Liczba zasadowa znajduje się na bezpiecznym poziomie. 

Zalecenia i wnioski:
Przy zachowaniu zbliżonych warunków eksploatacyjnych oraz czynności obsługowych, olej kwalifikuje się do dalszej eksploatacji bez podejmowania dodatkowych czynności korygujących. W celu obserwacji zmiany trendu przesłać próbkę do badania po kolejnych 250rbh.","{""metale_zużyciowe"": ""w_normie"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_zakresie_bezpiecznym""}",0,WSKAZÓWKA
P1401076,"Poziom fosforu podwyższony, w zakresie granicznym. Poziom cynku powyżej dopuszczalnej granicy. Pozostałe oznaczenia w znajdują się w dopuszczalnym przedziale. Zalecenia i wnioski: Poziomy podwyższone cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.","{""fosfor"": ""w_zakresie_granicznym""}",2,UWAGA
P1401180,Poziom cynku powyżej dopuszczalnej granicy. Poziom fosforu powyżej dopuszczalnej granicy. Poziom sodu podwyższony w zakresie granicznym. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Poziomy podwyższone cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Podwyższony poziom sodu może wskazywać na nieszczelność układu chłodzenia. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,"{""sód"": ""w_zakresie_granicznym""}",2,UWAGA
P1402230,"Poziom metalicznych produktów zużycia w normie. Indeks PQ w normie. Poziom 
dodatków uszlachetniających w normie. Podwyższony sód, może pochodzić z 
kompozycji (dodatek uszlachetniający) oleju i/lub  wskazywać na nieszczelności 
układu chłodzenia.

Zalecenia i wnioski:
Wykonać badanie oleju świeżego. Wykonać badanie kolejnej próbki wg przyjętego 
programu diagnostyki olejowej, nie później niż za 500h pracy.","{""metale_zużyciowe"": ""w_normie"", ""pq_indeks"": ""w_normie"", ""dodatki_uszlachetniające"": ""w_normie""}",2,WSKAZÓWKA
P1501440,"Poziom cynku i fosforu podwyższony, pozostałe pierwiastki znajdują się w 
dopuszczalnym przedziale. Zawartość ciał stałych w normie.

Zalecenia i wnioski:
 Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.","{""cynk"": ""w_dopuszczalnym_zakresie"", ""fosfor"": ""w_dopuszczalnym_zakresie"", ""stałe_ciała_obce"": ""w_normie""}",1,WSKAZÓWKA
P1502422,"Poziom metalicznych produktów zużycia w normie. PQ indeks w normie. W 
porównaniu z ostatnia próbką zauważalny wzrost sodu, możliwa przyczyna to 
dolewka oleju innego typu, zanieczyszczenie płynem chłodzącym.

Zalecenia i wnioski:

Wykonać badanie weryfikacyjne. Przeanalizować historię uzupełnień oleju. 
Proszę przy kolejnej analizie przysłac próbke oleju świeżego.","{""metale_zużyciowe"": ""w_normie"", ""pq_indeks"": ""w_normie""}",0,WSKAZÓWKA
P1502980,"Zawartość wody w normie. Poziom metalicznych produktów zużycia w normie,  
świadczy o braku intensywnych procesów zużyciowych oraz korozyjnych w układzie 
olejowym. Poziom krzemu w zakresie ostrzegawczym. Oznaczona lepkość  w 
dopuszczalnym zakresie. Nie stwierdzono zanieczyszczenia olejem napędowym oraz 
glikolem. Temperatura zapłonu w normie.

Wnioski i zalecenia:  
Dokonać przeglądu instalacji doprowadzenia powietrza do silnika, wymienić 
filtr powietrza. Proszę obserwować zmiany w następnej analizie. Wykonać badanie 
kolejnej próbki zgodnie z przyjętym programem diagnostyki olejowej.","{""woda"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""lepkość"": ""w_dopuszczalnym_zakresie"", ""glikol"": ""brak_wykrycia"", ""temperatura_zapłonu"": ""w_normie""}",0,WSKAZÓWKA
P1503769,"Zawartość wody w normie. Poziom metalicznych produktów zużycia oznaczony w 
badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.  Indeks PQ, 
informujący o magnetycznych ferrocząstkach (niezależnie od rozmiaru cząstek) w 
normie. Poziom dodatków uszlachetniających jest typowy dla oleju silnikowego. 
Oznaczona lepkość w normie. Liczba zasadowa w normie. Nie posiadamy w bazie 
danych wartości oleju świeżego, z tego względu komentarz na temat możliwych 
zmian dodatków uszlachetniających oraz spektrum IR jest niemożliwy do 
przedstawienia  lub można to wykonać w sposób nieprecyzyjny.

Wnioski i zalecenia:  
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""woda"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""pq_indeks"": ""w_normie"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie""}",0,WSKAZÓWKA
P1600024,"W efekcie zużycia i korozji poziom miedzi podniesiony, w zakresie granicznym. 
Wszystkie pozostałe oznaczenia znajdują się w normalnym dopuszczalnym 
przedziale.

Wnioski i zalecenia:  
Wszystkie oznaczenia znajdują się dopuszczalnym przedziale. Proszę obserwować 
zmiany w następnej analizie.  Wykonać badanie kolejnej próbki zgodnie z 
przyjętym programem diagnostyki olejowej.","{""miedź"": ""w_zakresie_granicznym""}",1,WSKAZÓWKA
P1601705,"Poziom paliwa podniesiony, w zakresie dopuszczalnym. Wszystkie pozostałe 
oznaczenia znajdują się w normalnym/dopuszczalnym przedziale.

Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""paliwo"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1602482,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1602839,"Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki 
o rozmiarach <5um) ww normie. Indeks PQ, informujący o magnetycznych 
ferrocząstkach (niezależnie od rozmiaru cząstek) w normie. Oznaczona lepkość w 
normie. Liczba kwasowa  i zasadowa w normie. Nie posiadamy w bazie danych 
wartości oleju świeżego, z tego względu komentarz na temat możliwych zmian 
dodatków uszlachetniających oraz spektrum IR jest niemożliwy do przedstawienia  
lub można to wykonać w sposób nieprecyzyjny.

Wnioski i zalecenia:  
Z przeprowadzonych badań nie wynika przyczyna oraz skutki uszkodzenia/awarii 
silnika. Procedura poboru próbki mogła mieć wpływ na uzyskane rezultaty.","{""pq_indeks"": ""w_normie"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""w_normie""}",0,WSKAZÓWKA
P1603207,"Poziom oleju napędowego uległ poprawie (spadkowi) względem ostatniej badanej 
próbki. Temperatura zapłonu  w normie. Lepkość względem poprzedniej próbki 
uległa lekkiemu pogorszeniu (trend spadkowy w porównaniu do ostatnich dwóch 
próbek). Poziom krzemu  na podobnym poziomie co w poprzednio zbadanej próbce. 
Pozostałe oznaczone parametry znajdują się w swoich normalnych dopuszczanych 
zakresach.

Zalecenia i wnioski:
Obserwować zmiany w kolejnej analizie zwłaszcza pod kątem trendu zmian 
lepkości. Wykonać badanie kolejnej próbki zgodnie z przyjętym programem 
diagnostyki płynu.","{""temperatura_zapłonu"": ""w_normie""}",1,WSKAZÓWKA
P1603214,"Temperatura zapłonu nieco poniżej minimalnej dopuszczalnej wartości. W 
porównaniu do poprzednio badanej próbki poprawie (zmniejszeniu) uległa 
zawartość oleju napędowego. Oznaczona zawartość oleju napędowego oraz pozostałe 
parametry znajdują się w swoich normalnych dopuszczalnych zakresach.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej.","{""olej_napędowy"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1603284,"Odczyn pH podniesiony,  pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kontrolne za 1500mth 
pracy.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",2,WSKAZÓWKA
P1603286,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu. ","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1603294,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu. ","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
