Lab_Number,sample_description,parser_output,prediction,ground_truth
P1401505,"Wszystkie oznaczone pierwiastki prezentują stabilny trend. Poziom cynku i fosforu podwyższony, nie krytycznie. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Podwyższony poziom cynku i fosforu może wskazywać na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Cynk w połączeniu z miedzią może wskazywać na zużycie /korozję elementów mosiężnych. Cynk jest stosowany również jako  składnik farb. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej. Wykonać badanie próbki oleju stosowanego na dolewki.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",1,W NORMIE
P1401770,"Cynk i fosfor lekko podwyższone, znajdują się w dopuszczalnym przedziale, prezentują stabilny trend. Zalecenia i wnioski: Podwyższony poziom cynku i fosforu może wskazywać na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Cynk w połączeniu z miedzią może wskazywać na zużycie /korozję elementów mosiężnych. Cynk jest stosowany również jako  składnik farb. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej. Wykonać badanie próbki oleju stosowanego na dolewki.","{""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",1,W NORMIE
P1401785,"Poziom cynku, fosforu i sodu lekko podwyższony, znajdują się dopuszczalnym przedziale.. Zalecenia i wnioski: Podwyższony poziom cynku i fosforu może wskazywać na zastosowanie na dolewki oleju innego typu. Cynk może pochodzić z metalurgii smarowanych elementów np. w połączeniu z miedzią może wskazywać na zużycie /korozję elementów mosiężnych. Cynk jest stosowany również jako składnik farb. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej. Wykonać badanie próbki oleju stosowanego na dolewki. Na dolewki stosować olej wg DTR","{""sód"": ""lekko_podniesiony"", ""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",1,W NORMIE
P1500986,"Poziom cynku i fosforu podwyższony, powyżej poziomu dopuszczalnego, w 
porównaniu z poprzednią próbką zauważalny stabilny trend.

Zalecenia i wnioski:
Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",0,W NORMIE
P1501244,"Poziom cynku i fosforu podwyższony, trend stabilny. Wszystkie pozostałe 
parametry znajdują się w dopuszczalnym przedziale.

Zalecenia i wnioski:
Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",1,W NORMIE
P1501659,"PQ indeks informujący o magnetycznych cząstkach zużyciowych (żelazny ścier) w 
normie. W efekcie zużycia poziom żelaza pierwiastkowego (cząstki <5um) 
podwyższony, trend stabilny.  Poziom krzemu podwyższony, wskazuje na kurz i/lub 
elastyczne uszczelnienia, pasty montażowe, smar na bazie silikonów, trend 
stabilny. W efekcie zużycia komponentów silnika podwyższony poziom miedzi i 
antymonu (np. brąz, mosiądz,  łożyska ślizgowe) i ołowiu (np. łożyska ślizgowe, 
łożyska korbowodu), stabilny trend.  Poziom sodu lekko podwyższony, w 
porównaniu z ostatnim badaniem nastąpił znaczny spadek.

Zalecenia i wnioski:
W celu śledzenia trendu zmian zalecamy prowadzić regularny monitoring 
własności fizykochemicznych oleju, co 500-1000h pracy.","{""pq_indeks"": ""w_normie"", ""żelazo"": ""podniesiony"", ""krzem"": ""podniesiony"", ""miedź"": ""podniesiony"", ""sód"": ""lekko_podniesiony""}",1,W NORMIE
P1501720,"Cynk i fosfor podwyższone, trend stabilny. Pozostałe znaczone paramenty 
znajdują się w normalnym dopuszczalnym przedziale.

Zalecenia i wnioski: 
Cynk i fosfor świadczą o zmieszaniu z olejem innego typu. Na uzupełnienia 
stosować olej zgodny z DTR, nie mieszać różnych typów olejów. Wykonać badanie 
kolejnej próbki wg przyjętego programu diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",1,W NORMIE
P1502478,"Poziom cynku i fosforu lekko podwyższony. Oznaczone pierwiastki prezentują 
stabilny trend.

Wnioski i zalecenia:
Obserwować zmiany w następnej analizie. Wykonać badanie kolejnej próbki 
zgodnie z przyjętyp programem diagnostyki olejowej.","{""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",1,W NORMIE
P1502556,"Poziom cynku i fosforu lekko podwyższony, trend stabilny.  Wszystkie pozostałe 
oznaczone pierwiastki prezentują stabilny trend.

Wnioski i zalecenia:
Obserwować zmiany w następnej analizie. Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej.","{""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",1,W NORMIE
P1502711,"Poziom cynku i fosforu lekko podwyższony, trend stabilny. Pozostałe oznaczenia 
znajdują się w normalnym dopuszczalnym przedziale.

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",0,W NORMIE
