Lab_Number,sample_description,parser_output,prediction,ground_truth
P1400003,W efekcie zużycia i/lub korozji poziom miedzi lekko podwyższony. Własności reologiczne w normie.  Odczyn pH obniżony - nie krytycznie. Liczba kwasowa podwyższona. Liczba zasadowa poniżej poziomu dopuszczalnego. Zalecenia i wnioski: Wymienić olej na świeży.  Dostosować częstotliwość badań oleju do zaleceń wynikających z aktualnego stanu oleju  i/lub specyfikacji producenta urządzenia.,"{""miedź"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""ph"": ""obniżony"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""obniżony""}",2,UWAGA
P1501659,"PQ indeks informujący o magnetycznych cząstkach zużyciowych (żelazny ścier) w 
normie. W efekcie zużycia poziom żelaza pierwiastkowego (cząstki <5um) 
podwyższony, trend stabilny.  Poziom krzemu podwyższony, wskazuje na kurz i/lub 
elastyczne uszczelnienia, pasty montażowe, smar na bazie silikonów, trend 
stabilny. W efekcie zużycia komponentów silnika podwyższony poziom miedzi i 
antymonu (np. brąz, mosiądz,  łożyska ślizgowe) i ołowiu (np. łożyska ślizgowe, 
łożyska korbowodu), stabilny trend.  Poziom sodu lekko podwyższony, w 
porównaniu z ostatnim badaniem nastąpił znaczny spadek.

Zalecenia i wnioski:
W celu śledzenia trendu zmian zalecamy prowadzić regularny monitoring 
własności fizykochemicznych oleju, co 500-1000h pracy.","{""pq_indeks"": ""w_normie"", ""żelazo"": ""podniesiony"", ""krzem"": ""podniesiony"", ""miedź"": ""podniesiony"", ""sód"": ""lekko_podniesiony""}",1,W NORMIE
P1503411,"Zawartość wody w normie. Poziom miedzi  podniesiony.  Oznaczona lepkość w 
normie. Nie stwierdzono zanieczyszczenia  glikolem. Temperatura zapłonu w 
normie. Zawartość paliwa lekko podniesiona, w granicach normy.

Wnioski i zalecenia:  
Wszystkie oznaczone parametry znajdują się w dopuszczalnym przedziale. Proszę 
obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej.","{""woda"": ""w_normie"", ""miedź"": ""podniesiony"", ""lepkość"": ""w_normie"", ""glikol"": ""brak_wykrycia"", ""temperatura_zapłonu"": ""w_normie"", ""paliwo"": ""lekko_podniesiony""}",2,W NORMIE
P1503735,"Oznaczona lepkość w normie. Temperatura zapłonu nieznacznie poniżej wymagań. 
Poziom krzemu lekko podniesiony, mieści się jednak w zakresie dopuszczalnym. 
Wszystkie pozostałe oznaczenia w normie.

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. W celu obserwacji trendu 
wykonać badanie kolejnej zgodnie z przyjętym programem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""obniżony"", ""krzem"": ""lekko_podniesiony""}",1,W NORMIE
P1600135,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu podniesiony, 
wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Oznaczona 
lepkość w normie. Rezerwa alkaliczna (liczba zasadowa) w normie. Liczba kwasowa 
lekko podniesiona.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""rezerwa_alkaliczna"": ""w_normie"", ""liczba_kwasowa"": ""lekko_podniesiony""}",2,W NORMIE
P1600880,"Zawartość wody w normie. Poziom metalicznych produktów zużycia oznaczony w 
badaniu pierwiastków (cząstki o rozmiarach <5um) w normie. Indeks PQ, 
informujący o magnetycznych ferrocząstkach (niezależnie od rozmiaru cząstek) w 
normie. Oznaczona lepkość w normie. Liczba kwasowa lekko podniesiona. Liczba 
zasadowa w normie. Nie stwierdzono niepokojącej oksydacji oleju.

Wnioski i zalecenia:  
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""woda"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""pq_indeks"": ""w_normie"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""lekko_podniesiony"", ""liczba_zasadowa"": ""w_normie"", ""oksydacja"": ""brak_wykrycia""}",0,W NORMIE
P1600897,"Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków 
(cząstki o rozmiarach <5um) w normie. Poziom krzemu podwyższony, 
może pochodzić z komponentów  biogazu i/lub wskazywać na kurz z 
otoczenia i/lub elastyczne uszczelniania, materiały 
montażowe, bądź olej/smar na bazie silikonu, trend stabilny. Zawartość wody w 
normie.
Oznaczona lepkość w normie. Liczba zasadowa lekko obniżona. Liczba 
kwasowa lekko podniesiona. Nie stwierdzono niepokojącej oksydacji.

Wnioski i zalecenia:
Olej kwalifikuje się do dalszej eksploatacji. Prowadzić regularny 
monitoring własności fizykochemicznych oleju. Przysłać do badania 
kolejną próbkę oleju nie później niż po 250h pracy","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""podniesiony"", ""woda"": ""w_normie"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""lekko_obniżony"", ""liczba_kwasowa"": ""lekko_podniesiony"", ""oksydacja"": ""brak_wykrycia""}",2,W NORMIE
P1600910,"Poziom metalicznych produktów zużycia w normie.  Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Oznaczona 
lepkość kinematyczna w normie. Rezerwa alkaliczna (liczba zasadowa) w normie. 
Liczba kwasowa lekko podniesiona.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""rezerwa_alkaliczna"": ""w_normie"", ""liczba_kwasowa"": ""lekko_podniesiony""}",0,W NORMIE
P1600914,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe. Oznaczona lepkość w normie. Rezerwa 
alkaliczna (liczba zasadowa) w normie. Liczba kwasowa w normie.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie. Wykonać badanie kolejnej próbki za 
200h pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""rezerwa_alkaliczna"": ""w_normie"", ""liczba_kwasowa"": ""w_normie""}",0,W NORMIE
P1601268,"Poziom metalicznych produktów zużycia w normie, oznaczone metale zużyciowe 
wykazują stabilny trend. Poziom krzemu lekko podniesiony,  trend stabilny, 
wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba zasadowa w normie. Liczba kwasowa podniesiona, 
trend stabilny.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony""}",0,W NORMIE
P1601269,"Poziom metalicznych produktów zużycia w normie, oznaczone metale zużyciowe 
wykazują stabilny trend. Poziom krzemu lekko podniesiony,  trend stabilny, 
wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba zasadowa w normie. Liczba kwasowa podniesiona, 
trend stabilny.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony""}",0,W NORMIE
P1601270,"Poziom metalicznych produktów zużycia w normie, oznaczone metale zużyciowe 
wykazują stabilny trend. Poziom krzemu lekko podniesiony,  trend stabilny, 
wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba zasadowa w normie. Liczba kwasowa podniesiona.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony""}",0,W NORMIE
P1601271,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba zasadowa w normie.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie""}",0,W NORMIE
