Probe,Lab_Number,Prediction,Overall_Assessment_pred_file,Overall_Interpretation,Overall_Assessment_data
1,P1300010,0,1,"Poziom metalicznych produktów zużycia w normie,  świadczy o braku intensywnych procesów zużyciowych oraz korozyjnych w układzie olejowym. Oznaczona lepkość w normie. Liczba zasadowa znajduje się na bezpiecznym poziomie. 

Zalecenia i wnioski:
Przy zachowaniu zbliżonych warunków eksploatacyjnych oraz czynności obsługowych, olej kwalifikuje się do dalszej eksploatacji bez podejmowania dodatkowych czynności korygujących. W celu obserwacji zmiany trendu przesłać próbkę do badania po kolejnych 250rbh.",WSKAZÓWKA
1,P1304884,0,0,"Poziom metalicznych produktów zużycia w normie, świadczy o braku intensywnych procesów zużyciowych oraz korozyjnych w układzie olejowym. Własności reologiczne w normie. Zawartość wody w normie. Odczyn pH i liczba kwasowa w normie. Poziom dodatków uszlachetniających i i widmo IR w normie. Zalecenia i wnioski: Wszystkie oznaczone parametry znajdują się w dopuszczalnym przedziale, wskazują na dobrą kondycję oleju i urządzenia.  Przy zachowaniu zbliżonych warunków eksploatacyjnych oraz czynności obsługowych olej kwalifikuje się do dalszej eksploatacji bez podejmowania czynności korygujących. Zalecam przeprowadzić kolejne badanie oleju, w podobnym zakresie, za 250h pracy.",W NORMIE
1,P1400003,2,2,W efekcie zużycia i/lub korozji poziom miedzi lekko podwyższony. Własności reologiczne w normie.  Odczyn pH obniżony - nie krytycznie. Liczba kwasowa podwyższona. Liczba zasadowa poniżej poziomu dopuszczalnego. Zalecenia i wnioski: Wymienić olej na świeży.  Dostosować częstotliwość badań oleju do zaleceń wynikających z aktualnego stanu oleju  i/lub specyfikacji producenta urządzenia.,UWAGA
1,P1400044,2,2,"P1400044 - próbka oleju z filtra, P1400003 - próbka oleju z układu. W efekcie zużycia i/lub korozji poziom miedzi lekko podwyższony. Własności reologiczne w normie. Liczba kwasowa mocno podwyższona. Liczba kwasowa krytycznie obniżona. Na sączku membranowym (odfiltrowano 5ml oleju) liczne zanieczyszczenia wskazujące na produkty degradacji w skutek zbyt długich czasów pracy, degradacji termicznej oleju, oksydacji, niecałkowitego spalania. Zalecenia i wnioski: Zauważone przez użytkownika blokowanie filtra oleju i osady na nim w odniesieniu do zbadanych własności i stanu typowego oleju tej klasy nie można odnieść do wpływu zawartych parafin w oleju ponieważ temp. płynięcia tego rodzaju oleju wynosi -27C i przy eksploatacji stacjonarnej silnika w układzie napędu generatora energii, wytwarzania ciepła przez silnik będzie znacznie wyższa niż wartość gdzie może występować blokowanie filtra z powodu parafin. W przypadku gdyby występowało wydzielanie parafin z oleju( np. stała temp. oleju poniżej -10C) to pierwsze oznaki powstałyby w układzie dozowania uzupełniających dolewek oleju do silnika a taki układ powinien występować w tego rodzaju silniku. Na kształt osadów w oleju wg przekazanych materiałów wg zbadanych własności dominujący wpływ ma poziom liczby kwasowej wskazując jako możliwe produkty utleniania oleju, utleniania paliwa lub składniki spalania, które zmył olej w długotrwałej eksploatacji. Nie bez wpływu na stan jakości w tym punkcie i problem z osadami na filtrze ma też czas pracy oleju i sprawność filtra, który ma pewna chłonność dobraną do możliwej ilości osadów powstających w silniku i czasu pracy.  W przypadku gdyby występowały w oleju parafiny osad byłby postaci jasnej lub szarej w tym przypadku  osad ma barwę od ciemnobrązowej do czarnej, czyli potwierdza możliwe pochodzenie z utleniania oleju, paliwa, niezupełnego spalania paliwa itp. Z uzyskanych od Państwa informacji  wiemy że olej został wymieniony.  W celu niedopuszczenia do ponownej sytuacji nadmiernego wydłużenia czasu pracy oleju zalecamy bezwzględnie podporządkowanie czasookresu monitoringu własności fizykochemicznych oleju w odstępach 500mh, i/lub dostosować częstotliwość badań oleju do zaleceń wynikających z aktualnego stanu oleju.",UWAGA
1,P1400113,0,0,,W NORMIE
1,P1400184,0,1,"Poziom metalicznych produktów zużycia w normie, świadczy o braku intensywnych procesów zużyciowych w układzie olejowym. Poziom sodu i krzemu na niskim poziomie świadczy o braku nieszczelności z otoczenia i układu chłodzenia.   Własności reologiczne w normie.  Odczyn pH w normie. Liczba kwasowa w normie. Liczba zasadowa obniżona, nie krytycznie. Zalecenia i wnioski: Ze względu na obniżoną liczbę zasadowa (rezerwę alkaliczna - odpowiedzialna za neutralizację kwaśnych produktów z procesów spalania i degradacji oleju) zalecamy wykonać badanie kolejnej próbki nie później niż za 300rbh. W odniesieniu do wyników kolejnej próbki podjąć odpowiednie kroki eksploatacyjne. Proszę wysyłać do badania min 250ml próbki.",WSKAZÓWKA
1,P1400354,1,1,"W efekcie zużycia i/lub korozji poziom miedzi podwyższony (nie krytycznie). Poziom sodu i krzemu na niskim poziomie świadczy o braku nieszczelności z otoczenia i układu chłodzenia.   Własności reologiczne w normie.  Odczyn pH w normie. Liczba kwasowa w normie. Liczba zasadowa obniżona, nie krytycznie, zachowany stabilny trend. Zalecenia i wnioski: Zalecamy wykonać badanie kolejnej próbki nie później niż za 300rbh. W odniesieniu do wyników kolejnej próbki podjąć odpowiednie kroki eksploatacyjne. Proszę wysyłać do badania min 250ml próbki.",WSKAZÓWKA
1,P1400290,1,1,"Poziom miedzi podwyższony, nie krytycznie. Obserwować zmiany w nastepnej analizie.  Przy zachowaniu zbliżonych warunków eksploatacyjnych oraz czynności obsługowych olej kwalifikuje się do dalszej eksploatacji bez podejmowania czynności korygujących. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
1,P1402303,0,2,"Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie,  świadczy o braku intensywnych procesów zużyciowych oraz korozyjnych w układzie olejowym.  Indeks PQ, informujący o magnetycznych ferrocząstkach (niezależnie od rozmiaru cząstek) w normie. Własności reologiczne (lepkość i wskaźnik lepkości) w normie. Liczba zasadowa obniżona, jeszcze nie krytycznie. Oksydacja znacznie podniesiona. Odczyn pH obniżony. Wnioski i zalecenia: Olej posiada obniżoną rezerwę alkaliczną. Proszę wykonać badanie kolejnej próbki w trybie przyspieszonym -nie później niż za 200rbh, jeżeli nie zamierzacie państw badać oleju w tym terminie, zalecam przeprowadzić wymianę oleju. ",UWAGA
1,P1400417,0,1,"W efekcie zużycia i/lub korozji poziom żelaza lekko podwyższony. Poziom dodatków uszlachetniających w normie. Własności reologiczne w normie. Liczba kwasowa w normie. WIdmo w podczerwieni wykazuje nieznaczne odchylenia od próbki referencyjnej. Zalecenia i wnioski: Uzyskane parametry znajdują się normalnych przedziałach, zbliżonych do oleju świeżego, nie wskazują na problemy eksploatacyjne. Na podstawie przeprowadzonych badań nie można jednoznacznie wykluczyć niewielkiego zmieszania z olejem innego typu.",WSKAZÓWKA
1,P1400480,1,2,,UWAGA
1,P1400481,0,1,,WSKAZÓWKA
1,P1400482,1,2,,UWAGA
1,P1400600,0,0,,W NORMIE
1,P1400776,0,1,"Poziom metalicznych produktów zużycia w normie.  Poziom sodu i krzemu na niskim poziomie świadczy o braku nieszczelności z otoczenia i układu chłodzenia. Poziom dodatków uszlachetniających niezgodny z próbką referencyjną. Zauważalne zmiany w widmie FTIR. Własności reologiczne w normie.  Odczyn pH w normie. Liczba kwasowa w normie. Liczba zasadowa obniżona, nie krytycznie. Zalecenia i wnioski: Zalecamy wykonać badanie kolejnej próbki nie później niż za 300rbh. W odniesieniu do wyników kolejnej próbki podjąć odpowiednie kroki eksploatacyjne. Proszę wysyłać do badania min 250ml próbki.",WSKAZÓWKA
1,P1400810,2,2,"Poziom cynku powyżej dopuszczalnej granicy. Poziom fosforu powyżej dopuszczalnej granicy. Podwyższony poziom krzemu i sodu. Zalecenia i wnioski: Podwyższony poziom fosforu i cynku może wskazywać na zmieszanie z olejem innego typu, ewentualnie smarem.  Podwyższony cynk może wskazywać na zużcie elementów zawierających w metalurgii cynk. Wysoki poziom sodu wskazuje na nieszczelności z układu chłodzenia. Wysoki poziom krzemu może wskazywać na wnikanie zanieczyszczeń z otoczenia i/lub elastyczne uszczelnienia, pasty montażowe na bazie silikonu. Wymienić olej na świeży. Skontrolować i poprawić szczelność układu olejowego w zakresie wykrytych zanieczyszczeń. Wykonać kolejne badanie zgodnie z przyjętym programem diagnostyki olejowej.",UWAGA
1,P1400811,2,2,"Poziom cynku powyżej dopuszczalnej granicy. Poziom fosforu powyżej dopuszczalnej granicy. Poziom sodu podwyższony w zakresie granicznym. W efekcie zużycia i lub korozji poziom żelaza i miedzi  podwyższony. Zalecenia i wnioski: Podwyższony poziom fosforu i cynku może wskazywać na zmieszanie z olejem innego typu, ewentualnie smarem.  Podwyższony cynk może wskazywać na zużcie elementów zawierających w metalurgii cynk. Podwyższony poziom cynku w korelacji z miedzią może wskazywać na zużycie i lub korozję elementów  mosiężnych. Podwyższony poziom sodu może wskazywać na nieszczelności z układu chłodzenia. Wymienić olej na świeży. Wykonać kolejne badanie zgodnie z przyjętym programem diagnostyki olejowej.",UWAGA
1,P1400814,2,2,"Poziom cynku powyżej dopuszczalnej granicy. Poziom fosforu podwyższony, w zakresie granicznym. W efekcie zużycia i lub korozji poziom żelaza i miedzi lekko podwyższony. Zalecenia i wnioski: Podwyższony poziom fosforu i cynku może wskazywać na zmieszanie z olejem innego typu, ewentualnie smarem.  Podwyższony cynk może wskazywać na zużcie elementów zawierających w metalurgii cynk. Podwyższony poziom cynku w korelacji z miedzią może wskazywać na zużycie i lub korozję elementów  mosiężnych. Wymienić olej na świeży. Wykonać kolejne badanie zgodnie z przyjętym programem diagnostyki olejowej.",UWAGA
1,P1400889,2,2,"Uzyskane wyniki dla wszystkich pierwiastków nie uległy znaczącej zmianie od poprzedniej analizy. Poziom cynku powyżej dopuszczalnej granicy. Poziom fosforu powyżej dopuszczalnej granicy. Podwyższony poziom sodu. Zawartość krzemu w wartościach granicznych. Zalecenia i wnioski: Podwyższony poziom fosforu i cynku może wskazywać na zmieszanie z olejem innego typu, ewentualnie smarem.  Podwyższony cynk może wskazywać na zużcie elementów zawierających w metalurgii cynk. Wysoki poziom sodu wskazuje na nieszczelności z układu chłodzenia. Podwyższony poziom krzemu może wskazywać na wnikanie zanieczyszczeń z otoczenia i/lub elastyczne uszczelnienia, pasty montażowe na bazie silikonu. Wymienić olej na świeży. Skontrolować i poprawić szczelność układu olejowego w zakresie wykrytych zanieczyszczeń. Wykonać kolejne badanie zgodnie z przyjętym programem diagnostyki olejowej.",UWAGA
1,P1400983,1,0,Wszystkie uzyskane wartości znajdują się w przedziałach dopuszczalnych. Zalecenia i wnioski: Skontrolować i poprawić szczelność układu olejowego w zakresie wykrytych zanieczyszczeń. Wykonać kolejne badanie zgodnie z przyjętym programem diagnostyki olejowej.,W NORMIE
1,P1400961,1,0,Wszystkie uzyskane wartości znajdują się w przedziałach dopuszczalnych. Zalecenia i wnioski: Skontrolować i poprawić szczelność układu olejowego w zakresie wykrytych zanieczyszczeń. Wykonać kolejne badanie zgodnie z przyjętym programem diagnostyki olejowej.,W NORMIE
1,P1400998,2,0,Wszystkie oznaczone parametry mieszczą się w dopuszczalnym przedziale. Zalecenia i wnioski: Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,W NORMIE
